Unnamed: 0;ID;Название;Категории;Индекс;Страна;Регион;Район;Город;Полный адрес;Мобильные;Немобильные;Сайт;График;Широта;Долгота;Оценок;Отзывов;Рейтинг;ID сети;Сеть;Атрибуты;ВКонтакте;Одноклассники;Facebook;Instagram;YouTube;Twitter;Telegram;Viber;WhatsApp;Карточка организации;Все сайты;Все телефоны;Ссылка на онлайн-запись;Ссылка на оформление заказа;Приоритетное размещение
МФЦ;1301448977;Центр госуслуг Мои Документы;МФЦ;115304;Россия;г. Москва;;Москва;Москва, улица Медиков, 1/1к3, этаж 1;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,63583;37,674526;5501;1835;4,9;38037830672;МФЦ Мои документы города Москвы;Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1301448977;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;114065735586;Центр госуслуг Мои Документы;МФЦ;;Россия;г. Москва;;Москва;Москва, Пролетарский проспект, 18;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,633959;37,657003;4433;1530;4,8;38037830672;МФЦ Мои документы города Москвы;Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/114065735586;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1732951251;Центр госуслуг Мои Документы;МФЦ;115580;Россия;г. Москва;;Москва;Москва, улица Мусы Джалиля, 21;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,622875;37,743864;6349;2085;4,9;38037830672;МФЦ Мои документы города Москвы;Доступность входа на инвалидной коляске(доступно);http://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;https://t.me/MDMOS;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1732951251;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;96245493857;Центр госуслуг Мои документы;МФЦ;;Россия;г. Москва;;Москва;Москва, Люблинская улица, 100;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,654605;37,738649;11786;4298;4,7;38037830672;МФЦ Мои документы города Москвы;Туалет для людей с инвалидностью | Пандус | Доступность помещения на инвалидной коляске(доступно) | Парковка для людей с инвалидностью | Доступность входа на инвалидной коляске(доступно) | Лифт | Автоматическая дверь;;;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/96245493857;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1317760623;Центр госуслуг Мои Документы;МФЦ;115582;Россия;г. Москва;;Москва;Москва, Каширское шоссе, 144, корп. 3;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,5965;37,7216;5401;1785;5,0;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;https://t.me/mdmos;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1317760623;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1318079988;Центр госуслуг Мои Документы;МФЦ;115598;Россия;г. Москва;;Москва;Москва, Загорьевская улица, 10, корп. 4;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,5783;37,6766;5882;1917;5,0;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1318079988;https://md.mos.ru/ | https://md.mos.ru/find-your-dcp/structure/tsentr_gosuslug_rayona_biryulevo_vostochnoe/;+7 (495) 777-77-77;;;
МФЦ;1371455995;Центр госуслуг Мои Документы;МФЦ;117587;Россия;г. Москва;;Москва;Москва, Варшавское шоссе, 128, корп. 2;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,622938;37,612282;4301;1500;4,9;38037830672;МФЦ Мои документы города Москвы;Туалет для людей с инвалидностью | Пандус | Парковка для людей с инвалидностью | Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1371455995;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;132970790859;Центр госуслуг Мои Документы, флагманский офис;МФЦ;117519;Россия;г. Москва;;Москва;Москва, Кировоградская улица, 13А, этаж 3;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 10:00–22:00;55,612894;37,605861;3617;1616;4,8;38037830672;МФЦ Мои документы города Москвы;Туалет для людей с инвалидностью | Wi-Fi | Наличие дефибрилляторов | Доступность входа на инвалидной коляске(недоступно) | Уголок здоровья;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty_flagmanskiy_ofis/132970790859;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1650175674;Центр госуслуг Мои Документы;МФЦ;111677;Россия;г. Москва;;Москва;Москва, улица Маресьева, 1;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,707508;37,9299;9070;2964;5,0;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1650175674;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1387500849;Центр госуслуг Мои Документы;МФЦ | социальная служба;115230;Россия;г. Москва;;Москва;Москва, Варшавское шоссе, 47, корп. 4, этаж 2;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,678914;37,630275;5005;1788;4,9;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;https://youtube.com/@MFCmsk1;;https://t.me/mdmos;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1387500849;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;33113166200;Центр госуслуг Мои Документы;МФЦ;108852;Россия;Московская обл.;поселение Щербинка;Щербинка;Москва, Щербинка, Новостроевская улица, 6, этаж 3;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,504191;37,559437;5703;1976;4,9;38037830672;МФЦ Мои документы города Москвы;Парковка для людей с инвалидностью | Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/33113166200;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1162228397;Центр госуслуг Мои Документы;МФЦ;109156;Россия;г. Москва;;Москва;Москва, Жулебинский бульвар, 25;;+7 (495) 777-77-77;http://md.mos.ru/;ежедневно, 08:00–20:00;55,689794;37,85285;6922;2292;5,0;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1162228397;http://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1402275636;Центр госуслуг Мои Документы;МФЦ;;Россия;г. Москва;;Москва;Москва, Одесская улица, 21/29;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,6579;37,5935;5531;2019;4,8;38037830672;МФЦ Мои документы города Москвы;;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1402275636;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;1342027803;Центр госуслуг Мои Документы;МФЦ;109387;Россия;г. Москва;;Москва;Москва, Люблинская улица, 53;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 08:00–20:00;55,689924;37,737035;7531;2519;4,8;38037830672;МФЦ Мои документы города Москвы;Туалет для людей с инвалидностью | Пандус | Парковка для людей с инвалидностью | Лифт | Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty/1342027803;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;24033881636;Центр госуслуг Мои Документы, флагманский офис;МФЦ;109052;Россия;г. Москва;;Москва;Москва, Рязанский проспект, 2, корп. 3, этаж 1;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 10:00–22:00;55,729669;37,734803;4826;1970;5,0;38037830672;МФЦ Мои документы города Москвы;Туалет для людей с инвалидностью | Доступность помещения на инвалидной коляске(доступно) | Парковка для людей с инвалидностью | Доступность входа на инвалидной коляске(доступно) | Лифт;https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty_flagmanskiy_ofis/24033881636;https://md.mos.ru/;+7 (495) 777-77-77;;;
МФЦ;109115214270;Центр госуслуг Мои Документы, флагманский офис;МФЦ;117588;Россия;г. Москва;;Москва;Москва, Новоясеневский проспект, 1, этаж 3;;+7 (495) 777-77-77;https://md.mos.ru/;ежедневно, 10:00–22:00;55,619213;37,509792;4656;1945;5,0;38037830672;МФЦ Мои документы города Москвы;Пандус | Доступность входа на инвалидной коляске(доступно);https://vk.ru/mydocs_mos;https://ok.ru/mydocs.mos;;;;;;;;https://yandex.ru/maps/org/tsentr_gosuslug_moi_dokumenty_flagmanskiy_ofis/109115214270;https://md.mos.ru/;+7 (495) 777-77-77;;;
